store_name,store_id,visitor_review_count,blog_review_count,coffee_tasty,service_kind,beverage_tatsy,dessert_tasty,store_clean,conv_good,seat_comfy,focus_good,interior_good,restroom_clean,special_menu,value_for_money,view_good,photo_good,store_spacious,parking_easy,vibe_calm,vibe_cozy,vibe_musical,food_tasty,ingred_fresh,kids_good,packaging_good,price_worth,rooms_good,good_for_stay,taste_healthy,menu_variety,custom_good,fast_service,good_for_groups,large_portions,menu_composition_good,tea_tasty,bread_tasty,solos_dining_good,pet_friendly,good_for_party,alcohol_variety,solos_alcohol_good,good_for_special,outdoor_space_good,books_variety,concept_unique,good_for_gifts,course_meal_good,free_snack_good
양재강남빌딩R,1404,5314,283,1712,718,723,593,495,365,199,221,266,131,269,138,78,48,40,58,11,5,2,1,0,0,2,6,0,7,1,1,0,1,2,1,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0
선릉동신빌딩R,1355,5476,250,1692,650,569,403,400,246,191,128,263,42,192,68,38,33,13,18,3,5,1,3,0,0,2,5,0,5,1,7,3,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0
봉은사로선정릉,1348,2520,79,610,294,251,163,191,155,109,84,81,40,74,35,35,33,18,6,6,6,1,0,0,0,1,0,0,2,1,3,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
강남오거리,1255,4585,188,1129,536,500,384,272,267,134,153,104,77,143,79,31,28,20,7,9,4,1,3,0,0,0,3,0,7,1,2,1,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
스타필드코엑스몰R,1211,4033,511,1103,474,447,336,263,290,152,102,218,23,152,52,31,38,46,16,10,6,0,1,0,0,0,2,0,6,1,7,0,3,0,0,7,4,10,0,0,0,0,0,0,0,0,0,2,0,0
강남구청정문,1188,3116,108,1091,500,345,318,253,208,148,117,89,57,99,52,34,29,22,11,4,4,2,0,1,0,2,3,0,1,6,3,1,3,2,0,4,1,2,1,0,0,0,0,0,0,0,0,1,0,0
도곡공원,1263,3273,80,1091,373,396,339,282,220,201,199,134,81,118,79,22,22,23,12,7,4,1,5,0,0,0,0,0,2,0,3,2,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
강남R,1258,8235,996,2559,1056,940,787,670,563,426,318,573,66,367,141,117,105,96,23,9,8,1,3,0,0,1,7,0,12,4,5,0,4,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
대치은마사거리,1099,2343,92,711,360,361,223,149,113,91,100,36,19,60,45,10,10,2,10,0,4,0,1,0,1,0,0,0,2,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
청담영동대로,1154,3191,78,943,535,364,285,392,235,174,132,132,127,93,62,32,33,15,30,4,3,2,2,4,0,2,3,0,3,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
압구정,1084,4152,194,1313,493,466,363,285,239,175,147,124,116,110,83,21,42,32,92,2,5,1,1,0,15,1,2,2,6,1,3,1,1,8,0,1,0,0,4,19,9,1,3,2,0,2,0,0,2,1
신사가로수,1159,3011,187,768,380,361,299,255,242,173,155,97,58,91,72,125,33,28,8,3,11,3,2,0,0,0,1,0,4,1,1,0,1,0,0,1,0,0,2,0,0,0,0,2,1,0,0,1,0,0
청담스타R,1146,3501,885,848,379,379,291,298,216,202,137,277,53,191,43,62,47,27,37,4,5,2,0,0,0,0,0,1,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0
강남우성,1129,4577,169,1360,608,554,388,343,215,159,160,135,45,136,85,33,34,11,19,4,8,3,1,1,0,4,2,0,2,1,1,0,3,0,1,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0
학동사거리,991,5232,247,1524,692,607,416,426,270,205,143,159,84,147,95,37,35,29,21,6,7,1,6,0,0,1,2,1,6,0,2,0,5,1,0,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0
대치사거리,1062,2764,99,960,390,380,312,172,184,105,113,60,59,87,61,26,17,6,11,5,6,2,0,0,0,0,1,0,3,1,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
포스코사거리,1038,3548,86,849,437,286,204,213,168,109,61,83,29,102,56,16,26,9,14,3,4,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
을지병원사거리,914,2739,109,737,310,299,196,186,136,102,101,58,37,73,50,26,13,11,7,1,5,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신사역,863,4286,213,1364,579,511,419,270,184,87,129,109,47,121,69,35,31,6,16,7,8,3,0,0,0,1,2,0,2,1,4,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0
도곡역,825,2661,93,806,295,292,245,186,171,99,104,81,32,83,52,14,23,14,19,1,2,2,3,1,0,0,3,1,0,2,3,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
서울세관사거리,815,3594,109,1053,374,390,322,288,204,155,119,115,83,91,66,52,46,30,10,3,5,0,0,0,0,0,1,0,2,0,1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
청담사거리,734,3284,236,960,378,361,293,281,183,117,139,100,56,79,68,43,35,22,18,5,6,1,0,0,0,0,1,0,5,1,4,1,3,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
한티역,687,3368,168,995,381,372,325,266,194,123,170,109,43,102,52,30,26,20,74,8,5,2,2,1,3,0,0,0,9,0,1,1,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
역삼초교사거리,752,4699,145,1321,670,608,443,333,333,198,171,172,92,104,78,40,40,35,28,2,5,0,0,0,0,0,1,0,2,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
코엑스몰,744,8559,243,1651,833,761,497,392,309,235,121,127,65,187,123,25,42,9,76,5,7,6,8,2,2,2,3,1,5,1,0,1,6,1,2,7,1,4,1,0,0,0,0,1,0,0,0,0,0,0
가로수길,672,3431,198,852,464,376,273,268,228,185,153,90,83,70,60,48,32,21,10,4,7,2,1,0,0,0,2,0,10,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
역삼대로,632,2238,87,738,324,268,211,144,140,74,71,66,28,75,29,33,11,6,8,3,6,3,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
역삼포스코,636,4577,125,1296,681,565,390,324,198,129,117,108,54,133,92,64,30,4,35,5,5,4,1,0,0,0,2,0,5,0,6,1,3,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
강남대로,630,4726,257,1268,734,512,456,317,301,198,161,147,50,156,89,40,31,23,17,4,9,1,3,2,0,0,1,0,7,5,6,2,6,1,0,2,2,1,2,0,0,0,0,0,1,0,0,0,0,0
청담,667,2797,132,771,372,306,283,230,148,117,101,86,66,72,53,34,23,13,18,1,5,3,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
삼성교,607,4188,122,1297,458,494,357,310,265,208,137,147,34,116,64,22,38,28,13,1,1,2,1,0,0,1,4,0,5,3,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
학동역,251,5324,246,1619,651,686,581,400,275,204,200,198,74,227,138,53,63,31,21,4,9,0,3,0,0,1,3,0,2,0,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대치,200,1940,107,509,212,221,127,92,70,63,73,35,34,44,32,7,12,3,6,2,3,1,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신세계푸드마켓도곡,198,2986,151,946,503,376,313,286,138,59,40,128,138,159,74,17,30,5,118,0,6,2,3,0,0,1,8,0,2,4,5,2,2,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
삼성,180,1704,88,1010,285,483,421,199,182,113,135,149,28,76,37,24,15,28,14,3,9,2,0,0,1,0,2,1,3,1,3,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
선릉세화빌딩,170,5127,189,1801,637,794,506,318,327,201,166,131,88,175,135,46,57,19,14,7,10,4,3,1,0,2,6,1,8,0,8,4,10,0,0,2,2,1,2,0,0,0,0,0,0,0,1,2,0,0
압구정역,158,3401,273,1083,498,468,369,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
압구정로,283,2795,47,787,360,347,221,226,151,99,89,77,27,70,60,23,38,1,15,0,4,2,1,0,0,1,0,0,0,1,3,1,1,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
구역삼사거리,279,3326,145,917,377,383,310,192,148,95,111,63,65,102,46,28,25,7,19,7,6,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
큰길타워,278,1929,96,545,280,222,136,154,111,70,78,58,19,59,38,14,10,0,15,3,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
강남구청역,275,4306,236,1301,602,485,372,279,216,121,163,103,55,134,84,57,31,3,12,7,11,0,1,0,0,3,0,0,1,0,4,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0
대치역,274,1661,61,539,209,204,134,94,70,25,70,32,9,46,35,11,9,1,12,2,3,1,0,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
포이,272,4116,109,1388,607,572,431,337,160,94,112,102,99,153,109,38,40,1,25,6,10,4,4,0,0,1,3,0,3,1,6,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0
아크플레이스,19,3622,135,1150,486,342,224,237,153,121,80,180,59,86,54,84,34,5,26,7,3,1,1,1,0,1,1,0,1,1,1,0,2,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0
학여울역,3,3272,108,969,452,358,264,232,179,100,133,101,96,70,56,55,23,11,34,5,4,3,0,0,1,0,2,0,3,0,3,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0
선정릉역,989,3512,149,1116,478,384,346,278,263,129,183,94,56,151,69,37,24,37,6,4,3,0,1,0,0,1,5,0,3,3,5,0,3,1,0,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0
삼성현대힐,58,3403,94,990,433,368,260,269,162,123,94,92,62,114,58,46,21,0,41,3,4,1,2,1,0,1,1,0,1,0,5,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GS타워,266,2965,87,859,498,300,197,259,73,42,32,54,49,91,45,16,13,1,45,3,6,1,4,1,0,0,6,0,0,1,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
압구정미소,259,5131,152,1393,761,650,495,395,224,146,132,84,91,155,76,35,37,5,92,5,3,4,0,2,1,2,4,0,7,0,3,3,1,4,0,2,2,3,2,2,2,0,1,0,0,0,0,1,1,0
선릉역,258,3959,223,1305,497,519,358,275,199,110,108,93,52,163,84,18,26,6,19,2,6,1,2,0,0,1,3,1,7,1,4,1,5,0,2,1,5,3,2,0,0,0,0,0,0,0,0,1,0,0
코엑스사거리,484,3643,182,931,388,435,292,292,203,126,117,113,39,93,64,78,35,7,35,3,6,0,1,0,0,1,0,0,5,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
역삼럭키,471,2612,84,859,383,289,229,229,167,115,120,61,62,104,91,19,23,12,12,2,6,0,0,1,1,0,3,0,2,1,0,0,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
신압구정,394,3980,131,1241,472,556,347,246,259,183,152,104,47,98,77,72,35,15,25,7,3,1,2,0,0,0,1,0,4,0,0,0,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
아크로힐스논현,306,2800,81,895,330,327,237,174,123,66,72,86,34,69,57,74,30,4,15,6,2,0,2,0,0,2,0,0,3,1,0,0,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
강남비젼타워,497,5604,246,1550,649,687,537,385,349,232,237,189,64,148,68,30,52,48,26,8,19,7,8,1,0,0,4,0,4,0,5,2,6,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
압구정로데오역,338,4914,317,1719,688,708,559,408,301,203,211,141,95,170,128,65,37,22,15,5,9,1,3,0,0,0,3,1,3,3,3,2,4,1,0,3,0,2,2,0,0,0,0,0,0,0,0,1,0,0
르네상스사거리,316,3212,139,807,439,322,207,259,174,126,126,98,52,82,52,47,34,7,27,2,1,0,1,1,0,0,3,0,4,2,1,0,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
포스코,325,2199,62,652,236,216,138,123,70,36,31,42,14,54,35,9,10,1,10,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
선릉로,565,3459,113,1125,559,536,351,215,159,100,74,84,42,118,108,29,33,19,11,2,5,0,1,0,0,1,1,0,0,0,6,4,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
논현힐탑,430,2810,76,894,352,339,256,236,199,101,117,114,47,88,69,20,31,15,19,6,3,0,1,1,0,3,2,0,2,0,3,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
도산가로수길,433,4233,154,1018,554,451,288,331,267,179,202,130,76,77,72,149,40,32,15,3,8,1,4,0,0,1,1,0,6,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
매봉역,2319,356,48,277,202,50,53,36,64,6,14,32,1,32,3,12,12,8,0,3,4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
호림아트센터,2520,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청담역6번출구,2497,19,6,16,4,4,1,4,2,1,1,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남자곡,2509,11,9,10,7,4,4,2,4,0,2,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
대치한티,1760,2840,120,1192,464,482,401,318,299,220,240,152,63,161,88,55,29,37,22,7,6,2,1,0,4,1,3,0,7,4,3,0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0
개포동,2125,765,84,451,109,119,160,119,87,45,87,91,30,42,15,13,12,21,2,3,3,1,1,0,0,0,2,0,3,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
수서역사거리,1873,2667,108,1425,591,560,455,390,268,160,117,147,40,171,81,28,34,9,56,3,4,1,3,0,0,2,2,0,4,0,5,0,2,0,0,4,0,5,0,0,0,0,0,0,1,0,0,0,0,0
코엑스아셈타워,1710,1598,62,489,191,201,174,103,108,55,54,61,18,45,23,18,31,7,16,1,4,1,4,2,0,0,2,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0
강남차여성병원,2428,20,11,15,6,3,5,3,5,2,1,1,0,1,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
센터필드R,1831,2498,248,1083,562,454,320,413,291,267,114,308,137,177,66,85,67,38,154,2,6,2,0,0,0,0,3,0,5,1,4,0,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
도산사거리,1813,1651,76,850,272,297,222,312,162,128,92,144,55,76,54,36,34,21,14,5,3,1,1,0,0,0,1,0,2,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0
강남세곡,1800,2989,101,1191,699,510,469,491,347,301,276,288,77,166,86,84,92,52,146,2,9,2,1,0,2,1,1,0,6,0,10,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,1,1,0,0
대치삼성,1716,2139,87,804,284,308,210,267,179,81,90,135,84,57,39,40,22,19,189,1,6,1,1,2,0,0,3,0,0,2,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0
언주역,2057,1123,79,603,291,225,207,213,128,118,89,201,68,60,24,44,36,27,5,5,10,1,2,1,1,0,3,0,2,1,1,0,0,1,0,2,1,1,3,0,0,0,0,0,1,0,0,0,0,0
한티역8번출구,2522,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신논현역3번출구,2514,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강남파이낸스센터,2437,26,26,15,6,5,6,6,7,0,5,3,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
강남역신분당역사,1975,1455,98,868,334,326,155,216,26,9,21,74,9,89,56,10,8,2,8,5,2,3,0,0,0,3,7,0,0,1,3,0,16,0,0,4,1,1,1,0,0,0,0,0,0,0,2,0,0,0
삼성역,2000,1703,87,1010,284,482,421,199,182,113,135,149,28,76,37,24,14,28,14,3,9,2,0,0,1,0,2,1,3,1,3,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
테헤란로아남타워,1752,3348,116,1270,663,564,390,453,320,311,175,214,83,142,88,50,59,40,42,11,1,1,0,1,0,2,6,0,9,3,5,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
강남논현,1902,858,44,489,220,172,114,133,54,24,42,27,12,44,28,9,8,0,12,4,5,2,3,0,0,1,1,0,1,0,1,2,6,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0
삼성동,1846,1538,56,775,294,305,190,248,187,138,115,124,69,70,43,34,27,19,14,2,6,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0
리저브도산,2398,67,235,46,23,15,19,10,5,2,3,37,1,25,0,0,7,2,0,1,5,1,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
압구정역사3번출구,2371,67,12,49,19,16,17,3,2,0,0,1,1,7,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청담역,2204,564,53,400,131,127,171,57,62,14,40,80,9,47,20,3,18,27,3,7,6,1,1,2,0,0,0,0,4,1,5,1,2,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0
압구정현대아파트,2245,276,41,179,45,74,82,31,20,7,19,31,6,33,10,2,1,18,3,7,4,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
강남청담빌딩,2331,210,46,137,48,62,61,28,23,3,18,40,6,27,8,0,10,7,0,4,1,0,1,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
역삼이마트,1727,406,36,153,54,70,43,23,7,2,6,7,1,17,12,0,0,0,17,0,0,0,1,0,0,0,1,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0
케이스퀘어강남,2351,87,62,52,24,13,30,9,17,10,7,15,4,12,1,1,3,7,0,1,1,0,3,0,0,0,9,0,4,0,9,4,0,1,0,10,1,1,2,0,0,0,1,0,0,0,4,0,0,0
강남세곡DT,2217,284,59,202,56,63,81,49,18,6,13,49,10,23,11,10,5,4,11,6,5,2,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
미아뉴타운,1120,5267,117,1892,648,725,664,353,332,161,239,105,167,163,93,20,29,12,26,4,9,1,1,0,0,2,2,0,2,3,2,1,2,0,1,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0
강북구청사거리,971,8239,214,2872,1290,1085,1013,717,583,336,539,240,244,287,154,83,86,55,32,15,10,2,5,0,0,4,11,0,6,0,5,4,2,1,0,9,1,2,2,0,0,0,0,0,0,0,0,4,0,0
미아사거리역,872,7782,170,2580,1129,1100,957,479,480,253,211,178,109,283,170,48,44,22,30,6,9,7,0,0,0,0,5,0,5,4,7,3,0,0,1,1,2,2,1,0,0,0,0,0,0,0,1,1,0,0
수유역,254,8901,226,2814,1379,1131,1055,665,380,186,191,168,174,302,152,67,60,7,28,4,21,2,4,2,0,3,8,0,4,2,8,2,1,0,0,7,0,3,1,0,0,0,0,0,0,0,1,1,0,0
미아역,509,8042,136,2733,1138,1068,821,600,468,280,267,264,77,235,162,67,61,19,29,4,12,2,2,0,3,4,8,0,9,4,10,6,4,0,2,3,1,2,0,0,0,0,0,1,0,0,0,3,0,0
수유역5번출구,2314,470,60,317,72,91,166,81,61,17,22,71,4,26,15,2,11,27,2,2,3,3,0,2,0,0,3,0,1,0,5,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
서울안토,1858,2560,317,1132,432,370,357,372,334,199,78,314,162,83,47,656,161,7,108,0,1,3,0,1,2,0,1,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0
발산역사거리,1547,4797,102,1572,795,551,459,442,294,220,229,154,110,138,106,90,34,22,49,4,7,2,0,0,1,0,0,0,2,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
마곡역,1625,4849,181,1761,773,703,594,486,334,210,191,183,101,158,115,53,58,31,89,0,6,3,4,0,2,3,2,0,4,1,2,0,3,1,1,4,0,1,2,0,0,0,1,0,0,0,0,1,0,0
우장산역,1383,7652,261,2472,936,897,987,570,435,271,190,230,58,250,188,63,63,22,117,2,3,2,7,1,0,0,7,0,0,0,1,1,4,0,1,2,2,2,0,0,0,0,1,0,0,0,1,1,0,0
마곡사이언스타워R,1396,6775,489,1826,779,766,632,529,457,297,250,367,87,313,133,201,84,39,81,4,7,1,5,0,0,0,7,1,9,0,5,1,0,1,1,4,0,0,1,0,0,0,1,2,0,0,2,1,0,0
방화DT,1311,6250,209,1840,872,653,579,437,325,213,232,176,126,168,70,110,46,31,182,4,13,3,1,0,2,3,3,0,5,0,4,1,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
마곡나루역,1267,6860,225,1800,768,730,581,425,378,197,185,161,67,180,94,88,40,21,58,4,2,1,2,0,0,2,2,1,8,1,2,1,2,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
마곡GMG,1217,5682,179,1643,724,702,613,438,315,216,179,239,42,216,95,65,44,34,53,2,13,1,1,0,0,1,5,0,5,1,2,1,3,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0
가양역,1196,6036,169,1825,810,747,569,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화곡DT,1114,6505,274,2099,806,760,700,495,433,276,307,335,176,197,164,121,79,56,259,5,6,1,4,0,2,0,3,0,7,0,3,1,3,0,0,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0
화곡동,909,7243,174,2250,889,929,832,467,435,239,237,161,78,240,150,76,51,32,129,3,9,2,3,0,2,2,4,2,7,1,7,3,2,2,1,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0
염창역,703,5093,178,1702,823,666,584,379,357,220,269,125,55,151,91,98,30,26,30,2,14,4,3,0,2,1,5,0,7,2,2,2,10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0
발산역,731,6007,235,1578,647,577,559,357,349,180,185,162,125,142,75,38,39,19,71,5,11,1,3,0,0,1,1,0,3,1,4,0,1,0,0,7,2,0,0,0,0,0,0,0,2,0,0,0,0,0
까치산역,549,8353,246,2862,1225,1212,1056,628,525,313,386,315,130,378,201,113,92,52,43,6,14,2,5,0,4,0,14,1,13,7,7,4,2,0,1,4,4,4,0,0,0,0,0,2,0,0,0,2,0,0
